,Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,Batch_size,Epochs,Loss,Optimizer,train_accuracy,train_loss,val_accuracy,val_loss
0,2024-08-27 15:43:58,4.4min,4334cf0802c3498f9cc51adb4d5439d5,MobileNet-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,0.0,1.0,0.0
1,2024-08-27 15:39:26,4.5min,9aaadd5b577b44c29fbdc8b0c1b59f59,InceptionV3-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,0.0,1.0,0.0
2,2024-08-27 15:29:26,10.0min,24788917a85e49cfb1636f0668fd5846,InceptionResNetV2-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,0.998734414577484,0.2094516009092331,1.0,0.0
3,2024-08-27 15:23:58,5.4min,01a1291b43734fba816e2e07582fdbfd,EfficientNetV2S-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,0.9951487183570862,0.2172111868858337,1.0,0.0
4,2024-08-27 15:19:08,4.8min,b28c4963a0f3460fbde94c244df3dc8d,EfficientNetV2M-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,0.0,1.0,0.0
5,2024-08-27 15:14:08,4.9min,90a1d88094d848148a65c0832fa54130,EfficientNetV2L-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,2.68672902166e-05,1.0,1.0755861694e-06
6,2024-08-27 15:08:40,5.4min,8ecea0e03a614601a264481361badf33,EfficientNetV2B3-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,0.9996836185455322,0.0026699474547058,0.9979166388511658,0.0036668204702436
7,2024-08-27 15:04:02,4.6min,feb92fc0b4d14a5bafe5ac3e4e477188,EfficientNetV2B2-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,1.0057710220223726e-09,1.0,0.0
8,2024-08-27 14:59:29,4.5min,460fa9c2c03e4eacb8b31349dee58d1b,EfficientNetV2B1-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,0.0,1.0,0.0
9,2024-08-27 14:54:14,5.2min,23687b99427d4324b164678650881aac,EfficientNetV2B0-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,9.554812496759266e-10,1.0,0.0
10,2024-08-27 14:49:25,4.8min,4cf706172b524caf80f70d9d899bb577,EfficientNetB7-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,0.0,1.0,0.0
11,2024-08-27 14:43:51,5.5min,765486f0e9a74a2e96d5c33c7c78ef53,EfficientNetB6-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,0.0,1.0,0.0
12,2024-08-27 14:39:08,4.7min,113650dbd8604dbe80a3a3ac07291b63,EfficientNetB5-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,0.0,1.0,0.0
13,2024-08-27 14:33:47,5.3min,8bb3309065124390b71831dba4875f90,EfficientNetB4-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,1.3087317896065542e-08,1.0,0.0
14,2024-08-27 14:29:13,4.5min,351870a89059410789a577a95b9151c4,EfficientNetB3-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,1.2572166398217009e-11,1.0,9.934104650000106e-10
15,2024-08-27 14:24:41,4.5min,df8c6d576c5145489ab181db2cc28cd0,EfficientNetB2-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,1.257215997974015e-10,1.0,0.0
16,2024-08-27 14:20:09,4.5min,35df6f80c50e4f16bc93bb318c8f16c3,EfficientNetB1-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,9.303362524804015e-10,1.0,0.0
17,2024-08-27 14:15:39,4.5min,3e3a6a47a1a54c6b8e852e555dde14ce,EfficientNetB0-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,0.0,1.0,0.0
18,2024-08-27 14:10:13,5.4min,4bf1b26a4c1947389c473948c2bbf72a,DenseNet201-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,0.0,1.0,0.0
19,2024-08-27 14:04:49,5.4min,eceadbce0cc04e04be69c99af0d8d971,DenseNet169-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,3.5075762294667356e-09,1.0,0.0
20,2024-08-27 14:00:16,4.5min,766eb5d8ded24bdb95841e0566b7dd1e,DenseNet121-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,0.0,1.0,0.0
21,2024-08-27 13:55:42,4.5min,c218b8bb172240d29c14f444117d5c28,ConvNeXtTiny-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,0.0,1.0,0.0
22,2024-08-27 13:50:58,4.7min,d32e65f71d484ec39df345a672b50005,ConvNeXtSmall-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,0.0,1.0,0.0
23,2024-08-27 13:43:35,7.4min,fd442296e2344ee2b7ca31c6e43ff4eb,ConvNeXtLarge-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,0.0,1.0,0.0
24,2024-08-27 13:38:36,4.9min,78a46a3ace1842629a3d851f2a98902d,ConvNeXtBase-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,0.0,1.0,0.0
25,2024-08-27 13:34:13,4.3min,0e1ab974edd34aa49216860b4f724df7,VGG16-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,0.0,0.9979166388511658,0.0073845107108354
26,2024-08-27 11:02:20,4.3min,71e19c7ad6f34262a9dbb1470f31382b,Xception-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,0.0,1.0,0.0
27,2024-08-27 10:57:58,4.3min,6714468c3d104ffb8a2c60142a20b822,VGG19-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,0.0,1.0,0.0
28,2024-08-27 10:52:49,5.1min,64cce61838c346a69691af1ff0c76e23,ResNet50V2-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,0.0,1.0,0.0
29,2024-08-27 10:48:21,4.5min,3adf246f22ec43d7980907bb265bb40d,ResNet50-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,0.0,1.0,0.0
30,2024-08-27 10:40:23,8.0min,e219003634d44567ad11bf0d1217128b,ResNet152V2-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,0.0,1.0,0.0
31,2024-08-27 10:30:25,9.9min,5d65fc0b30cd4bceb13c57143fce3352,ResNet152-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,0.9886099696159364,0.0351180098950862,0.9854166507720948,0.0325727313756942
32,2024-08-27 10:22:26,7.9min,400568eaadd0498d97cefc1015a18783,ResNet101V2-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,0.0,1.0,0.0
33,2024-08-27 10:15:51,6.6min,7c6a11b3b83a4783b7752f0ead3721d4,ResNet101-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,0.0,1.0,3.2285598194903287e-08
34,2024-08-27 10:09:56,5.9min,4049e91c26224c23a95064d0e9f663c3,NASNetMobile-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,1.0283995521831457e-07,1.0,1.385769223816169e-07
35,2024-08-27 10:01:20,8.6min,bb828766baa74376b0d78b4094254ba9,NASNetLarge-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,2.733318069658708e-07,1.0,6.22104948888591e-07
36,2024-08-27 09:53:26,7.8min,35ddfb2abd774660b6de77e895a1c12c,MobileNetV3Small-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,4.40888783259652e-08,1.0,2.731879389372693e-09
37,2024-08-27 09:39:19,14.1min,cbabf412991a4ded917bac2033ff6690,MobileNetV3Large-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,1.3966804317e-06,1.0,5.10867794218e-05
38,2024-08-27 09:24:43,14.6min,0c06a42224b04b0b8f645d9d13cc530c,MobileNetV2-CNN1D,LOCAL,c:\Users\KARIMI\anaconda3\envs\tf-gpu\lib\site-packages\ipykernel_launcher.py,KARIMI,Finished,32,20,Sparse_Categorical_Crossentropy,Adam,1.0,3.7461570627e-06,1.0,5.7275451581e-06
